designator,value,package,manufacturer,mfr_part,lcsc,pins
AGD1,UCC27714D,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,TI(德州仪器),UCC27714D,C1549309,14
AGD2,UCC27714D,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,TI(德州仪器),UCC27714D,C1549309,14
AGD3,UCC27714D,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,TI(德州仪器),UCC27714D,C1549309,14
AGD4,UCC27714D,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,TI(德州仪器),UCC27714D,C1549309,14
AH,IPB60R120P7ATMA1,TO-263-3_L10.2-W9.0-P5.08-LS15.2-BR,Infineon(英飞凌),IPB60R120P7ATMA1,C6279866,3
AL,IPB60R120P7ATMA1,TO-263-3_L10.2-W9.0-P5.08-LS15.2-BR,Infineon(英飞凌),IPB60R120P7ATMA1,C6279866,3
A_H_PD1,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_PD2,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_PD3,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_PD4,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_R1,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_R2,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_R3,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_H_R4,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_PD1,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_PD2,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_PD3,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_PD4,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_R1,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_R2,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_R3,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
A_L_R4,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
BH,IPB60R120P7ATMA1,TO-263-3_L10.2-W9.0-P5.08-LS15.2-BR,Infineon(英飞凌),IPB60R120P7ATMA1,C6279866,3
BL,IPB60R120P7ATMA1,TO-263-3_L10.2-W9.0-P5.08-LS15.2-BR,Infineon(英飞凌),IPB60R120P7ATMA1,C6279866,3
C1,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C10,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C11,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C12,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C13,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C14,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C15,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C16,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C17,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C18,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C19,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C2,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C20,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C21,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C22,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C23,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C24,0.1UF-C0402,C0402,null,0.1uF-c0402,C9900008998,2
C25,0.1UF-C0402,C0402,null,0.1uF-c0402,C9900008998,2
C26,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C27,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C28,22pF,C0603,null,0603N220J500CT,C302059,2
C29,22pF,C0603,null,0603N220J500CT,C302059,2
C3,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C30,4.7uF,C2220,CCTC(三环),TCC2220X7R475K500GT,C377139,2
C31,4.7uF,C2220,CCTC(三环),TCC2220X7R475K500GT,C377139,2
C32,4.7uF,C2220,CCTC(三环),TCC2220X7R475K500GT,C377139,2
